ds,yhat,yhat_lower,yhat_upper
2014-01-31,4673.419592993413,0.0,10350.314271787413
2014-02-28,3029.128854370923,0.0,8451.516183194108
2014-03-31,13891.94323246514,8155.979974976177,19424.771662460476
2014-04-30,7167.016338371491,1641.7915505310907,13056.32326968972
2014-05-31,5080.388448707678,0.0,10854.145128156068
2014-06-30,6113.5117890044785,210.29963049033233,11957.23515535276
2014-07-31,2389.333895834927,0.0,7802.979564514337
2014-08-31,6387.2537766169135,1038.4992955756313,12513.805453199217
2014-09-30,10412.009251519972,5185.102904414031,16311.78047212981
2014-10-31,6214.427000889261,0.0,12249.61257187881
2014-11-30,12666.971515923831,7102.149776235387,18064.956707023157
2014-12-31,8964.63911862104,3402.3284542224715,14885.928661063956
2015-01-31,5934.100447213172,210.86832128724888,11950.823975247684
2015-02-28,266.17401365779216,0.0,6523.247825984085
2015-03-31,19698.677857898347,14378.782464185657,25032.38082950238
2015-04-30,8468.184963944565,3043.3801294531245,14211.66635755554
2015-05-31,1976.8214537451527,0.0,7510.5581876886645
2015-06-30,7316.408151306658,1560.215991766704,12907.571095182782
2015-07-31,1231.498515210007,0.0,6930.93543715038
2015-08-31,7903.446934748265,2188.9426965993266,13550.975127574035
2015-09-30,12583.174561143167,6659.322180420899,18202.162145266277
2015-10-31,7747.39995184269,1904.6688699873844,13307.892130415565
2015-11-30,11531.7885269313,6082.502203019502,17318.56986599121
2015-12-31,9347.445986057013,3856.259458479603,15002.187905954414
2016-01-31,7318.524642281166,1727.6486418087038,12897.384669703411
2016-02-29,10235.838315774658,4594.857523462083,15669.969531391896
2016-03-31,6279.825115178967,664.1210023466886,12260.66620225111
2016-04-30,6469.758268428829,651.3748868428378,12229.015791838317
2016-05-31,13379.45853115007,7582.73316314026,18856.606217912788
2016-06-30,5675.407617529271,283.4602301717835,11749.748622442945
2016-07-31,5776.793627179274,91.84603131408612,11327.698818493616
2016-08-31,5397.847243606179,0.0,10799.338718752657
2016-09-30,9159.546428579106,3591.8219661671033,14986.860446234787
2016-10-31,4786.713970119844,0.0,10187.221023039416
2016-11-30,19125.12736597364,13317.296056224637,24553.125738539173
2016-12-31,11122.445644854575,5521.534145442383,16652.647185047994
2017-01-31,4831.801238963058,0.0,10268.526326706473
2017-02-28,7341.313298121299,1631.9824928292348,13106.852291829808
2017-03-31,12010.18457655789,6054.363764612862,17715.865425804706
2017-04-30,7991.430529161881,3089.0724160789573,13903.642511620972
2017-05-31,10341.755339633844,4688.595104401216,15992.643727853143
2017-06-30,6820.665548877867,1319.4747383264703,12329.17958463965
2017-07-31,4555.313491704052,0.0,10212.867000727216
2017-08-31,6819.06931054243,1333.3753139051967,12482.774018580487
2017-09-30,11345.92082930325,5547.033167442825,16849.526560473118
2017-10-31,6430.867729625221,570.2836552660414,11687.100518628515
2017-11-30,18056.718317240277,12051.293671106798,23322.787105739695
2017-12-31,11454.546768423405,5881.563123706014,16886.438841565836
2018-01-31,6242.440405875139,467.9003316409336,12302.85451534973
2018-02-28,4039.7415105664577,0.0,9619.382879155413
2018-03-31,18494.841868784,12800.057068654081,23937.788089274614
2018-04-30,9526.00167013335,4189.071853707442,15188.121815413919
2018-05-31,6741.224705958348,1255.800488035982,12469.931951050128
2018-06-30,8099.05261153927,2433.6080183528047,13467.524122589284
